Species,Oklahoma,Missouri,Newfoundland,Penn.,Texas,Utah.Ibex,Utah.North,Montana,Alberta
Acidiphorus brevus,0,0,0,0,0,1,0,0,0
Acidiphorus brighti,0,0,0,0,0,1,0,0,0
Acidiphorus wahwahensis,0,0,0,0,0,1,0,0,0
Amblycranium cornutum,0,0,0,0,0,0,1,0,1
Apatokephaloides oxleyi,0,0,0,0,0,0,0,0,1
Bathyurellus arbucklensis,1,0,0,0,0,0,0,0,0
Bathyurellus inflatus,1,0,0,0,0,0,0,0,0
Bellefontia chamberlaini,0,0,0,0,0,1,1,0,0
Benthamaspis diminutiva,0,0,0,0,0,1,0,0,0
Benthamaspis mediacrista,1,1,0,0,1,0,0,0,0
Benthamaspis onomeris,1,0,0,0,0,0,0,0,0
Benthamaspis rhochmotis,1,0,0,0,0,0,0,0,0
Bolbocephalus convexus,1,0,1,1,0,0,0,0,0
Bolbocephalus jeffersonensis,1,1,0,0,1,0,0,0,0
Bolbocephalus myktos,1,0,0,0,0,0,0,0,0
Bolbocephalus sancticlairi,0,1,0,0,0,0,0,0,0
Bolbocephalus stitti,1,1,0,0,1,0,0,0,0
Carolinites genacinaca,0,0,0,0,0,1,1,0,0
Chapmania carterensis,1,0,0,0,0,0,0,0,0
Chapmania missouriensis,0,1,0,0,1,0,0,0,0
Chapmania oklahomensis,1,0,0,0,0,0,0,0,0
Chapmania permarginata,0,1,0,0,0,0,0,0,0
Chapmania taylori,1,0,0,0,0,0,0,0,0
Cullisonia producta,1,1,0,1,0,0,0,0,0
Cybelopsis speciosa,0,0,0,0,0,1,0,0,0
Dimeropygiella caudanodosa,0,0,0,0,0,1,1,0,0
Gelasinocephalus pustulosus,1,0,0,0,0,0,0,0,0
Gelasinocephalus whittingtoni,1,0,0,0,0,0,0,0,0
Genalaticurus genalatus,0,0,0,0,0,0,0,1,0
Goniophrys prima,0,0,0,0,0,0,1,0,0
Grinnellaspis newfoundlandensis,0,0,1,0,0,0,0,0,0
Hintzecurus paragenalatus,0,0,0,0,0,0,1,0,0
Hystricurus crassilimbatus,0,0,1,0,0,0,0,1,1
Ischyrotoma sila,1,0,0,0,0,0,0,0,0
Isoteloides peri,1,0,1,0,0,0,0,0,0
Isoteloides polaris,0,0,0,0,0,1,0,0,0
Jeffersonia delicatula,0,1,1,0,0,0,0,0,0
Jeffersonia granosa,1,1,0,0,1,0,0,0,0
Jeffersonia jenni,1,1,1,1,0,0,0,0,0
Jeffersonia ulrichi,1,0,0,0,0,0,0,0,0
Lachnostoma latucelsum,0,0,0,0,0,1,1,0,0
Leiostegium manitouensis,0,0,0,0,0,1,0,0,0
Lutesvillia bispinosa,1,1,0,0,0,0,0,0,0
Menoparia genalunata,0,0,0,0,0,0,1,0,0
Pachycranium faciclunis,0,0,0,0,0,0,1,0,0
Parahystricurus oculirotundus,0,0,0,0,0,0,1,0,0
Parahystricurus smithiae,0,0,0,0,0,0,0,0,1
Peltabellia implexa,0,0,1,0,0,0,0,0,0
Peltabellia peltabella,0,0,0,0,0,0,1,0,0
Petigurus cullisoni,1,1,1,1,0,0,0,0,0
Petigurus nero,0,0,1,0,0,0,0,0,0
Presbynileus utahensis,0,0,0,0,0,1,0,0,0
Pseudocybele nasuta,0,0,0,0,0,1,1,0,0
Pseudomera insolita,0,0,0,0,0,1,0,0,0
Ptyocephalus declevita,0,0,0,0,0,1,0,0,0
Punka akoura,1,0,0,0,0,0,0,0,0
Punka verecunda,1,0,0,0,0,0,0,0,0
Ranasasus brevicephalus,1,1,0,0,0,0,0,0,0
Ranasasus colossus,1,1,0,0,1,0,0,0,0
Ranasasus conicus,0,1,1,0,0,0,0,0,0
Randaynia leatherburyi,1,0,0,0,0,0,0,0,0
Rollia goodwini,1,1,0,0,0,0,0,0,0
Speyeris hami,1,0,0,0,0,0,0,0,0
Strigigenalis caudata,1,0,1,0,0,0,0,0,0
Strigigenalis crassimarginata,1,1,1,1,0,0,0,0,0
Strigigenalis implexa,1,0,0,0,0,0,0,0,0
Strigigenalis insentis,1,0,0,0,0,0,0,0,0
Strigigenalis knighti,1,0,1,0,0,0,0,0,0
Symphysurina illaenoides,0,0,0,0,0,0,1,1,0
Trigonocercella acuta,0,0,0,0,0,1,0,0,0
Yukonaspis kindlei,0,0,0,0,0,0,0,0,1
